ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
38,38,-13.89,31.53,0.000,0.000,0.054,0.000,0.086,0.629,0.000,0.012,0.005,0.214,0.000,0.000,0.000,0.000,0.000
39,39,-13.08,31.75,0.000,0.000,0.232,0.000,0.031,0.356,0.000,0.053,0.018,0.145,0.143,0.008,0.000,0.000,0.015
40,40,-12.89,31.95,0.000,0.000,0.127,0.000,0.003,0.118,0.000,0.077,0.014,0.093,0.550,0.005,0.000,0.000,0.015
41,41,-13.11,31.93,0.000,0.000,0.093,0.000,0.053,0.552,0.000,0.031,0.010,0.195,0.052,0.002,0.000,0.000,0.013
42,42,-12.96,31.65,0.000,0.000,0.109,0.000,0.149,0.590,0.000,0.001,0.002,0.112,0.035,0.000,0.000,0.000,0.004
43,43,-12.75,31.57,0.000,0.000,0.124,0.000,0.215,0.542,0.001,0.000,0.001,0.112,0.003,0.000,0.000,0.000,0.001
44,44,-13.11,32.25,0.000,0.000,0.388,0.000,0.022,0.353,0.000,0.001,0.001,0.235,0.001,0.000,0.000,0.000,0.000
45,45,-13.13,32.02,0.000,0.000,0.038,0.000,0.022,0.756,0.000,0.019,0.004,0.153,0.009,0.000,0.000,0.000,0.000
46,46,-13.42,31.75,0.000,0.000,0.172,0.000,0.093,0.525,0.000,0.002,0.000,0.205,0.003,0.000,0.000,0.000,0.000
47,47,-13.26,32.03,0.000,0.000,0.102,0.000,0.019,0.587,0.000,0.049,0.004,0.214,0.025,0.000,0.000,0.000,0.000
48,48,-13.4,32,0.000,0.000,0.134,0.000,0.030,0.577,0.000,0.002,0.001,0.255,0.001,0.000,0.000,0.000,0.000
49,49,-13.43,31.84,0.000,0.000,0.093,0.000,0.076,0.523,0.000,0.005,0.004,0.285,0.014,0.000,0.000,0.000,0.000
