ID	Watershed	UZTWM	UZFWM	UZK	ZPERC	REXP	LZTWM	LZFSM	LZFPM	LZSK	LZPK	PFREE
185	185	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
186	186	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
187	187	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
188	188	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
189	189	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
190	190	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
191	191	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
192	192	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
193	193	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
194	194	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
195	195	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
196	196	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
197	197	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
198	198	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
199	199	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
200	200	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
201	201	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
202	202	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
203	203	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
204	204	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
205	205	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
206	206	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
207	207	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
208	208	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
209	209	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
210	210	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
211	211	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
212	212	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
213	213	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
214	214	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
